pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,15,3,63,3,,,,,152.03327459993307,,152.01909049996175,152.03327459993307,153.03286119992845,153.03286119992845,153.03286119992845,153.03286119992845,153.03286119992845,154.03295719996095,154.03295719996095,154.33305699995253,z,1,0.28349349997006357,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,16,0,64,0,,,,,154.34924939996563,,154.33439089998137,154.34924939996563,155.34916560002603,155.34916560002603,155.34916560002603,155.34916560002603,155.34916560002603,156.3488899000222,156.3488899000222,157.14994989999104,x,1,0.7920472000259906,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,16,1,65,1,,,,,157.16517950000707,,157.1517601000378,157.16517950000707,158.1651810000185,158.1651810000185,158.1651810000185,158.1651810000185,158.1651810000185,159.16463559994008,159.16463559994008,159.5993186000269,v,1,0.42844339995644987,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,16,2,66,2,,,,,159.61445610004012,,159.60066949995235,159.61445610004012,160.61431750003248,160.61431750003248,160.61431750003248,160.61431750003248,160.61431750003248,161.61366919998545,161.61366919998545,161.89919849997386,c,1,0.28224490000866354,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,16,3,67,3,,,,,161.91389750002418,,161.90164870000444,161.91389750002418,162.91327469993848,162.91327469993848,162.91327469993848,162.91327469993848,162.91327469993848,163.91348300001118,163.91348300001118,164.23128259996884,z,1,0.30187060008756816,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,17,0,68,0,,,,,164.24621439992916,,164.23298580001574,164.24621439992916,165.24646900000516,165.24646900000516,165.24646900000516,165.24646900000516,165.24646900000516,166.24601679993793,166.24601679993793,166.68047469994053,x,1,0.4307705999817699,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,17,1,69,1,,,,,166.69613769999705,,166.68220659997314,166.69613769999705,167.69594959996175,167.69594959996175,167.69594959996175,167.69594959996175,167.69594959996175,168.69540500000585,168.69540500000585,168.9964491999708,v,1,0.29736860003322363,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,17,2,70,2,,,,,169.01178569998592,,168.99773619999178,169.01178569998592,170.01174680003896,170.01174680003896,170.01174680003896,170.01174680003896,170.01174680003896,171.011376200011,171.011376200011,171.36303729994688,c,1,0.35014390002470464,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,17,3,71,3,,,,,171.37795600004029,,171.364564999938,171.37795600004029,172.37801350001246,172.37801350001246,172.37801350001246,172.37801350001246,172.37801350001246,173.37745979998726,173.37745979998726,173.67869820003398,z,1,0.28419030003715307,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,18,0,72,0,,,,,173.69410129997414,,173.68041229993105,173.69410129997414,174.69375149998814,174.69375149998814,174.69375149998814,174.69375149998814,174.69375149998814,175.6935410000151,175.6935410000151,176.21134199993685,x,1,0.5131960000144318,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
